Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Auraiya,Achalda,Maize,Yellow,FAQ,1930,1950,1940,31 Jan 2020
2,Auraiya,Achalda,Maize,Yellow,FAQ,1950,2000,1980,16 Jan 2020
3,Shajapur,Agar,Maize,Other,FAQ,1900,1900,1900,02 Jan 2020
4,Shajapur,Agar,Maize,Other,FAQ,2400,2400,2400,23 Jan 2020
5,Agra,Agra,Maize,Yellow,FAQ,2000,2030,2020,28 Jan 2020
6,Agra,Agra,Maize,Yellow,FAQ,2010,2040,2030,04 Jan 2020
7,Akola,Akola,Maize,Yellow,FAQ,1665,1665,1665,14 Jan 2020
8,Etah,Aliganj,Maize,Hybrid,FAQ,1850,1950,1900,28 Jan 2020
9,Aligarh,Aligarh,Maize,Hybrid,FAQ,1950,2050,2000,14 Jan 2020
10,Prayagraj,Allahabad,Maize,Yellow,FAQ,1650,1850,1755,02 Jan 2020
11,Kurnool,Alur,Maize,Local,FAQ,1760,1820,1790,30 Jan 2020
12,Jalgaon,Amalner,Maize,Deshi Red,FAQ,1400,1771,1771,30 Jan 2020
13,Amarawati,Amarawati,Maize,Other,FAQ,2000,2100,2050,08 Jan 2020
14,Amreli,Amreli,Maize,Yellow,FAQ,1255,2500,2275,10 Jan 2020
15,Amreli,Amreli,Maize,Yellow,FAQ,1725,2455,2455,17 Jan 2020
16,Amreli,Amreli,Maize,Yellow,FAQ,1905,2580,2580,24 Jan 2020
17,Amreli,Amreli,Maize,Yellow,FAQ,2200,2200,2200,30 Jan 2020
18,Amreli,Amreli,Maize,Yellow,FAQ,2255,2875,2500,11 Jan 2020
19,Amreli,Amreli,Maize,Yellow,FAQ,2375,2375,2375,13 Jan 2020
20,Badwani,Anjad,Maize,Yellow,FAQ,1600,1750,1700,28 Jan 2020
21,Badwani,Anjad,Maize,Yellow,FAQ,1600,1750,1700,29 Jan 2020
22,Erode,Anthiyur,Maize,Other,FAQ,1629,1809,1809,28 Jan 2020
23,Erode,Anthiyur,Maize,Other,FAQ,1879,1891,1879,21 Jan 2020
24,Hassan,Arakalgud,Maize,Local,FAQ,1500,1500,1500,30 Jan 2020
25,Hassan,Arasikere,Maize,Local,FAQ,1650,1850,1750,16 Jan 2020
26,Ariyalur,Ariyalur Market,Maize,Other,FAQ,1709,1915,1859,10 Jan 2020
27,Ariyalur,Ariyalur Market,Maize,Other,FAQ,1820,1947,1900,06 Jan 2020
28,Ashoknagar,Ashoknagar,Maize,Other,FAQ,1465,1465,1465,13 Jan 2020
29,Belgaum,Athani,Maize,Hybrid/Local,FAQ,1700,1700,1700,06 Jan 2020
30,Belgaum,Athani,Maize,Hybrid/Local,FAQ,1700,1700,1700,18 Jan 2020
31,Belgaum,Athani,Maize,Hybrid/Local,FAQ,1700,1800,1800,14 Jan 2020
32,Belgaum,Athani,Maize,Hybrid/Local,FAQ,1700,2000,2000,01 Jan 2020
33,Auraiya,Auraiya,Maize,Hybrid/Local,FAQ,1900,2020,1980,02 Jan 2020
34,Auraiya,Auraiya,Maize,Hybrid/Local,FAQ,1900,2050,1990,06 Jan 2020
35,Auraiya,Auraiya,Maize,Hybrid/Local,FAQ,1900,2100,2000,07 Jan 2020
36,Auraiya,Auraiya,Maize,Hybrid/Local,FAQ,1950,2100,2020,24 Jan 2020
37,Badaun,Badayoun,Maize,Yellow,FAQ,1970,2040,2000,31 Jan 2020
38,Mahbubnagar,Badepalli,Maize,Local,FAQ,1616,1990,1756,18 Jan 2020
39,Dhar,Badnawar,Maize,Deshi White,FAQ,1800,1800,1800,21 Jan 2020
40,Dewas,Bagli,Maize,Other,FAQ,1870,1870,1870,18 Jan 2020
41,Bahraich,Bahraich,Maize,Yellow,FAQ,1760,1860,1820,31 Jan 2020
42,Bahraich,Bahraich,Maize,Yellow,FAQ,1800,1880,1850,30 Jan 2020
43,Ballia,Ballia,Maize,Yellow,FAQ,1820,1950,1890,09 Jan 2020
44,Balrampur,Balrampur,Maize,Yellow,FAQ,1700,1780,1750,06 Jan 2020
45,Balrampur,Balrampur,Maize,Yellow,FAQ,1730,1800,1780,25 Jan 2020
46,Hoshangabad,Banapura,Maize,Deshi Red,FAQ,1000,1800,1546,28 Jan 2020
47,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1800,2000,1900,30 Jan 2020
48,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1800,2200,2000,08 Jan 2020
49,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1800,2200,2000,09 Jan 2020
50,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1800,2200,2000,14 Jan 2020
51,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,2000,2300,2150,22 Jan 2020
52,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,2000,2300,2150,28 Jan 2020
53,Unnao,Bangarmau,Maize,Yellow,FAQ,1850,1900,1880,28 Jan 2020
54,Hoshangabad,Bankhedi,Maize,Other,FAQ,1590,1590,1590,30 Jan 2020
55,Auraiya,Achalda,Maize,Yellow,FAQ,1950,1980,1970,15 Jan 2020
56,Amarawati,Achalpur,Maize,Other,FAQ,1700,2900,2300,23 Jan 2020
57,Agra,Agra,Maize,Yellow,FAQ,1980,2010,2000,20 Jan 2020
58,Agra,Agra,Maize,Yellow,FAQ,2000,2030,2010,25 Jan 2020
59,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1681,1800,1725,27 Jan 2020
60,Ahmednagar,Ahmednagar,Maize,Other,FAQ,1821,2000,1910,02 Jan 2020
61,Prayagraj,Ajuha,Maize,Yellow,FAQ,1860,2050,1880,09 Jan 2020
62,Prayagraj,Ajuha,Maize,Yellow,FAQ,1875,2050,1900,12 Jan 2020
