Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Auraiya,Achalda,Wheat,Dara,FAQ,2000,2060,2010,31 Jan 2020
2,Agra,Achnera,Wheat,Dara,FAQ,2040,2120,2080,08 Jan 2020
3,Agra,Achnera,Wheat,Dara,FAQ,2120,2180,2150,19 Jan 2020
4,Shajapur,Agar,Wheat,Other,FAQ,1975,2340,2270,18 Jan 2020
5,Shajapur,Agar,Wheat,Other,FAQ,2000,2435,2290,13 Jan 2020
6,Shajapur,Agar,Wheat,Other,FAQ,2240,2380,2280,10 Jan 2020
7,Agra,Agra,Wheat,Dara,FAQ,2100,2130,2120,04 Jan 2020
8,Agra,Agra,Wheat,Dara,FAQ,2160,2200,2180,17 Jan 2020
9,Agra,Agra,Wheat,Dara,FAQ,2180,2200,2190,16 Jan 2020
10,Ahmednagar,Ahmednagar,Wheat,Other,FAQ,2451,2451,2451,30 Jan 2020
11,Ahmednagar,Ahmednagar,Wheat,Other,FAQ,2552,2552,2552,24 Jan 2020
12,Ahmednagar,Ahmednagar,Wheat,Other,FAQ,2650,2700,2675,01 Jan 2020
13,Prayagraj,Ajuha,Wheat,Dara,FAQ,1960,2100,1975,05 Jan 2020
14,Prayagraj,Ajuha,Wheat,Dara,FAQ,1960,2100,1975,08 Jan 2020
15,Prayagraj,Ajuha,Wheat,Dara,FAQ,2000,2150,2025,21 Jan 2020
16,Prayagraj,Ajuha,Wheat,Dara,FAQ,2025,2150,2060,28 Jan 2020
17,Ambedkarnagar,Akbarpur,Wheat,Dara,FAQ,1880,1955,1950,20 Jan 2020
18,Shajapur,Akodiya,Wheat,Mill Quality,FAQ,1700,2389,2100,10 Jan 2020
19,Akola,Akola,Wheat,Other,FAQ,2100,2900,2850,21 Jan 2020
20,Akola,Akola,Wheat,Sharbati,FAQ,2350,2750,2650,10 Jan 2020
21,Bhind,Alampur,Wheat,Other,FAQ,1960,1990,1980,04 Jan 2020
22,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,20 Jan 2020
23,Etah,Aliganj,Wheat,Dara,FAQ,1980,2020,2000,13 Jan 2020
24,Aligarh,Aligarh,Wheat,Dara,FAQ,2000,2040,2020,31 Jan 2020
25,Alirajpur,Alirajpur,Wheat,147 Average,FAQ,2000,2100,2050,17 Jan 2020
26,Prayagraj,Allahabad,Wheat,Dara,FAQ,1750,2400,2050,13 Jan 2020
27,Jalgaon,Amalner,Wheat,Other,FAQ,1750,2386,2386,31 Jan 2020
28,Jalgaon,Amalner,Wheat,Other,FAQ,1861,2332,2332,03 Jan 2020
29,Jalgaon,Amalner,Wheat,Other,FAQ,2105,2400,2400,10 Jan 2020
30,Jalgaon,Amalner,Wheat,Other,FAQ,2200,2686,2686,21 Jan 2020
31,Amarawati,Amarawati,Wheat,Other,FAQ,2025,2900,2463,21 Jan 2020
32,Amarawati,Amarawati,Wheat,Other,FAQ,2050,2900,2475,11 Jan 2020
33,Amarawati,Amarawati,Wheat,Other,FAQ,2100,2300,2200,30 Jan 2020
34,Satna,Amarpatan,Wheat,Other,FAQ,1942,1952,1947,29 Jan 2020
35,Satna,Amarpatan,Wheat,Other,FAQ,1999,2030,2014,19 Jan 2020
36,Morena,Ambaha,Wheat,Other,FAQ,1995,2015,2000,28 Jan 2020
37,Banaskanth,Amirgadh,Wheat,Other,FAQ,2140,2300,2220,13 Jan 2020
38,Banaskanth,Amirgadh,Wheat,Other,FAQ,2255,2255,2255,24 Jan 2020
39,Amreli,Amreli,Wheat,Lokwan,FAQ,2050,2440,2325,27 Jan 2020
40,Amreli,Amreli,Wheat,Lokwan,FAQ,2170,2425,2405,08 Jan 2020
41,Amreli,Amreli,Wheat,Lokwan,FAQ,2240,2445,2310,04 Jan 2020
42,Amreli,Amreli,Wheat,Lokwan,FAQ,2300,2505,2385,01 Jan 2020
43,Amreli,Amreli,Wheat,Lokwan,FAQ,2435,2435,2435,29 Jan 2020
44,Amroha,Amroha,Wheat,Local,FAQ,2000,2050,2025,18 Jan 2020
45,Amroha,Amroha,Wheat,Local,FAQ,2000,2060,2030,20 Jan 2020
46,Amroha,Amroha,Wheat,Local,FAQ,2060,2100,2080,27 Jan 2020
47,Amroha,Amroha,Wheat,Local,FAQ,2070,2110,2090,25 Jan 2020
48,Maharajganj,Anandnagar,Wheat,Dara,FAQ,1915,2000,1960,04 Jan 2020
49,Maharajganj,Anandnagar,Wheat,Dara,FAQ,1925,2030,1970,10 Jan 2020
50,Badwani,Anjad,Wheat,Lokwan,FAQ,2100,2100,2100,29 Jan 2020
51,Paschim Bardhaman,Asansol,Wheat,Kalyan,FAQ,2020,2100,2050,29 Jan 2020
52,Paschim Bardhaman,Asansol,Wheat,Kalyan,FAQ,2060,2140,2100,08 Jan 2020
53,Ashoknagar,Ashoknagar,Wheat,Other,FAQ,1975,2445,2231,24 Jan 2020
54,Ashoknagar,Ashoknagar,Wheat,Other,FAQ,2000,2652,2300,20 Jan 2020
55,Auraiya,Achalda,Wheat,Dara,FAQ,2100,2200,2170,16 Jan 2020
56,Auraiya,Achalda,Wheat,Dara,FAQ,2100,2200,2180,09 Jan 2020
57,Shajapur,Agar,Wheat,Other,FAQ,2270,2325,2290,14 Jan 2020
58,Agra,Agra,Wheat,Dara,FAQ,2150,2180,2160,27 Jan 2020
59,Ahmednagar,Ahmednagar,Wheat,Other,FAQ,2050,2530,2290,02 Jan 2020
60,Ahmednagar,Ahmednagar,Wheat,Other,FAQ,2450,2650,2550,10 Jan 2020
61,Jalaun (Orai),Ait,Wheat,Dara,FAQ,2080,2140,2110,13 Jan 2020
62,Jalaun (Orai),Ait,Wheat,Dara,FAQ,2161,2161,2161,10 Jan 2020
63,Prayagraj,Ajuha,Wheat,Dara,FAQ,1960,2100,1985,09 Jan 2020
64,Prayagraj,Ajuha,Wheat,Dara,FAQ,2050,2150,2080,29 Jan 2020
65,Akola,Akola,Wheat,Other,FAQ,2000,2250,2150,10 Jan 2020
66,Akola,Akola,Wheat,Other,FAQ,2050,2375,2150,17 Jan 2020
67,Bhind,Alampur,Wheat,Other,FAQ,1960,1995,1975,15 Jan 2020
68,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,27 Jan 2020
69,Alappuzha,Alappuzha,Wheat,Other,FAQ,2050,2150,2100,31 Jan 2020
70,Etah,Aliganj,Wheat,Dara,FAQ,1980,2020,2000,09 Jan 2020
71,Etah,Aliganj,Wheat,Other,FAQ,1980,2020,2000,08 Jan 2020
